src_ip,dst_ip,packet_size,protocol,dst_port,timestamp
10.167.3.84,224.0.0.251,103,2,5353,1774035363.4028592
10.167.121.37,224.0.0.251,224,2,5353,1774035363.4043086
8.8.8.8,10.167.246.18,602,2,57053,1774035363.4206822
151.101.128.223,10.167.246.18,54,1,28780,1774035363.4269016
151.101.128.223,10.167.246.18,54,1,28780,1774035363.4279227
151.101.128.223,10.167.246.18,85,1,28780,1774035363.4287841
151.101.128.223,10.167.246.18,54,1,28780,1774035363.4360294
23.41.38.50,10.167.246.18,66,1,28782,1774035363.4453933
10.167.246.18,151.101.128.223,54,1,443,1774035363.4478264
10.167.246.18,23.41.38.50,54,1,443,1774035363.4523256
10.167.246.18,23.41.38.50,271,1,443,1774035363.454332
10.167.246.18,151.101.64.223,66,1,443,1774035363.4915059
20.42.73.24,10.167.246.18,153,1,28781,1774035363.4972682
72.153.5.140,10.167.246.18,96,1,28775,1774035363.4980204
72.153.5.140,10.167.246.18,54,1,28775,1774035363.498753
10.167.246.18,72.153.5.140,54,1,443,1774035363.4991949
10.167.246.18,20.42.73.24,491,1,443,1774035363.4997172
23.41.38.50,10.167.246.18,54,1,28782,1774035363.5001502
23.41.38.50,10.167.246.18,1230,1,28782,1774035363.5007954
23.41.38.50,10.167.246.18,2974,1,28782,1774035363.5018008
23.41.38.50,10.167.246.18,1514,1,28782,1774035363.502974
10.167.246.18,23.41.38.50,66,1,443,1774035363.5040958
10.167.246.18,23.41.38.50,54,1,443,1774035363.5073736
10.167.246.18,8.8.8.8,98,2,53,1774035363.509095
10.167.162.38,224.0.0.251,87,2,5353,1774035363.5101724
10.167.246.18,23.41.38.50,54,1,443,1774035363.544383
23.41.38.50,10.167.246.18,1181,1,28782,1774035363.5763736
23.41.38.50,10.167.246.18,1514,1,28782,1774035363.5804632
10.167.246.18,23.41.38.50,66,1,443,1774035363.5831916
10.167.246.18,23.41.38.50,54,1,443,1774035363.5851555
10.167.246.18,23.41.38.50,180,1,443,1774035363.587609
10.167.242.230,224.0.0.251,492,2,5353,1774035363.6159804
10.167.162.38,224.0.0.251,255,2,5353,1774035363.6254232
10.167.121.37,224.0.0.251,100,2,5353,1774035363.6279387
10.167.82.31,224.0.0.251,424,2,5353,1774035363.7304456
10.167.239.107,224.0.0.251,427,2,5353,1774035363.743364
10.167.175.215,224.0.0.251,425,2,5353,1774035363.753322
10.167.253.132,224.0.0.251,462,2,5353,1774035363.767997
10.167.73.196,224.0.0.251,452,2,5353,1774035363.781966
10.167.110.215,224.0.0.251,469,2,5353,1774035363.794101
10.167.90.252,224.0.0.251,431,2,5353,1774035363.8074203
10.167.161.232,224.0.0.251,436,2,5353,1774035363.8150725
151.101.64.223,10.167.246.18,66,1,28783,1774035363.8157942
20.42.73.24,10.167.246.18,1514,1,28781,1774035363.8170524
20.42.73.24,10.167.246.18,166,1,28781,1774035363.8183694
23.41.38.50,10.167.246.18,360,1,28782,1774035363.8191233
20.42.73.24,10.167.246.18,2974,1,28781,1774035363.8202207
10.167.246.18,20.42.73.24,66,1,443,1774035363.820996
10.167.246.18,20.42.73.24,54,1,443,1774035363.827945
10.167.246.18,151.101.64.223,54,1,443,1774035363.830267
10.167.246.18,151.101.64.223,251,1,443,1774035363.8355536
10.167.246.18,20.42.73.24,1494,1,443,1774035363.8409567
10.167.246.18,20.42.73.24,1494,1,443,1774035363.846857
10.167.246.18,20.42.73.24,186,1,443,1774035363.8484104
10.167.246.18,23.41.38.50,388,1,443,1774035363.8491216
10.167.118.203,224.0.0.251,404,2,5353,1774035363.8517394
10.167.50.215,224.0.0.251,427,2,5353,1774035363.8543565
10.167.87.117,224.0.0.251,463,2,5353,1774035363.8609626
10.167.121.32,224.0.0.251,431,2,5353,1774035363.8632474
10.167.242.230,224.0.0.251,1254,2,5353,1774035363.8694687
10.167.194.145,224.0.0.251,433,2,5353,1774035363.8752713
10.167.182.219,224.0.0.251,388,2,5353,1774035363.8789847
10.167.253.132,224.0.0.251,1167,2,5353,1774035363.8872297
10.167.153.21,224.0.0.251,438,2,5353,1774035363.8933544
10.167.218.134,224.0.0.251,464,2,5353,1774035363.8961346
10.167.162.38,224.0.0.251,255,2,5353,1774035363.8989244
23.41.38.50,10.167.246.18,1453,1,28782,1774035363.9004242
8.8.8.8,10.167.246.18,98,2,63928,1774035363.9016492
10.167.246.18,23.41.38.50,54,1,443,1774035363.902327
10.167.251.55,224.0.0.251,432,2,5353,1774035363.9154174
10.167.183.102,224.0.0.251,100,2,5353,1774035363.916422
10.167.121.37,224.0.0.251,172,2,5353,1774035364.0249562
10.167.219.11,224.0.0.251,471,2,5353,1774035364.0344157
151.101.64.223,10.167.246.18,54,1,28783,1774035364.0356276
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.0392635
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.0427656
151.101.64.223,10.167.246.18,420,1,28783,1774035364.044718
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.0469644
20.42.73.24,10.167.246.18,66,1,28781,1774035364.0489738
20.42.73.24,10.167.246.18,66,1,28781,1774035364.0516827
20.42.73.24,10.167.246.18,54,1,28781,1774035364.0551653
20.42.73.24,10.167.246.18,157,1,28781,1774035364.0593202
20.42.73.24,10.167.246.18,518,1,28781,1774035364.0630136
10.167.246.18,151.101.64.223,66,1,443,1774035364.0660286
10.167.246.18,151.101.64.223,54,1,443,1774035364.0732403
10.167.246.18,151.101.64.223,66,1,443,1774035364.0768733
10.167.246.18,151.101.64.223,54,1,443,1774035364.0787015
10.167.246.18,20.42.73.24,54,1,443,1774035364.0799737
10.167.246.18,20.42.73.24,78,1,443,1774035364.08104
10.167.246.18,20.42.73.24,54,1,443,1774035364.0818346
10.167.246.18,151.101.64.223,147,1,443,1774035364.0832868
10.167.162.38,224.0.0.251,255,2,5353,1774035364.1279016
10.167.159.166,224.0.0.251,968,2,5353,1774035364.1491098
10.167.183.102,224.0.0.251,374,2,5353,1774035364.2318695
151.101.64.223,10.167.246.18,54,1,28783,1774035364.3263023
151.101.64.223,10.167.246.18,312,1,28783,1774035364.3284237
20.42.73.24,10.167.246.18,54,1,28781,1774035364.3299472
